name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5
"Terryville, NY",40.9089874,-73.0651072,0.1505,0.1495,0.1455,0.1395,0.1315
"West Babylon, NY",40.718155,-73.3542871,0.5485,0.5455,0.5315,0.508,0.48
"West Islip, NY",40.7062104,-73.3062302,0.3595,0.358,0.3485,0.333,0.3145
"Wyandanch, NY",40.7539878,-73.360398,0.148,0.147,0.143,0.137,0.1295
"Lake Grove, NY",40.8528761,-73.1151102,0.1415,0.141,0.137,0.131,0.124
"Lindenhurst, NY",40.6867667,-73.3734547,0.346,0.344,0.335,0.3205,0.3025
"Patchogue, NY",40.7656539,-73.0151084,0.1495,0.149,0.145,0.1385,0.131
"Babylon, NY",40.6956552,-73.3256753,0.1545,0.1535,0.1495,0.143,0.135
"Chalco, NE",41.1838878,-96.1502969,0.144,0.1435,0.1395,0.1335,0.126
"Fernway, PA",40.6947886,-80.1308932,0.4035,0.4015,0.391,0.3735,0.353
"Austintown, OH",41.1017247,-80.7645239,0.4745,0.4725,0.46,0.4395,0.4155
"Boardman, OH",41.0242256,-80.6628528,0.566,0.563,0.548,0.524,0.495
"Eastchester, NY",40.8884329,-73.8281895,0.248,0.247,0.2405,0.23,0.217
"Elmont, NY",40.700936,-73.712909,0.4215,0.419,0.408,0.39,0.3685
"Baldwin, NY",40.6564913,-73.6092953,0.305,0.3035,0.2955,0.2825,0.267
"Bellmore, NY",40.6687125,-73.5270709,0.206,0.205,0.1995,0.1905,0.18
"Bethpage, NY",40.7442664,-73.4820687,0.2085,0.2075,0.202,0.193,0.1825
"East Meadow, NY",40.7139898,-73.5590157,0.484,0.4815,0.469,0.448,0.4235
"Merrick, NY",40.6628796,-73.551516,0.2805,0.279,0.2715,0.2595,0.2455
"New Cassel, NY",40.7589892,-73.5695712,0.1785,0.1775,0.173,0.165,0.156
"North Bellmore, NY",40.69149,-73.5334597,0.253,0.252,0.245,0.2345,0.2215
"North Massapequa, NY",40.7009337,-73.4620685,0.227,0.226,0.22,0.21,0.1985
"North Merrick, NY",40.6912125,-73.5631827,0.1555,0.155,0.151,0.144,0.1365
"North New Hyde Park, NY",40.7431574,-73.6931861,0.189,0.188,0.183,0.175,0.1655
"North Valley Stream, NY",40.6851028,-73.7017976,0.211,0.21,0.2045,0.1955,0.1845
"North Wantagh, NY",40.6934341,-73.5076257,0.152,0.151,0.147,0.1405,0.133
"Oceanside, NY",40.6387141,-73.6401296,0.4075,0.4055,0.3945,0.3775,0.3565
"Plainview, NY",40.7764882,-73.4673455,0.3325,0.331,0.3225,0.308,0.291
"Port Washington, NY",40.8256561,-73.6981858,0.201,0.2,0.195,0.186,0.176
"Roosevelt, NY",40.678713,-73.5890168,0.2065,0.2055,0.2,0.191,0.1805
"Salisbury, NY",40.745656,-73.5601266,0.1535,0.1525,0.1485,0.142,0.1345
"Franklin Square, NY",40.7073244,-73.6759635,0.372,0.37,0.3605,0.3445,0.3255
"Hicksville, NY",40.7684331,-73.5251253,0.527,0.5245,0.511,0.4885,0.4615
"Jericho, NY",40.7920441,-73.5398476,0.172,0.1715,0.167,0.1595,0.1505
"Levittown, NY",40.7259336,-73.5142921,0.6585,0.655,0.638,0.61,0.576
"Massapequa, NY",40.6806564,-73.4742914,0.275,0.274,0.2665,0.255,0.241
"Seaford, NY",40.6659344,-73.4881809,0.194,0.193,0.188,0.18,0.17
"South Farmingdale, NY",40.7206555,-73.4401232,0.184,0.183,0.178,0.1705,0.161
"Syosset, NY",40.8262101,-73.502068,0.239,0.2375,0.2315,0.2215,0.209
"Uniondale, NY",40.7003793,-73.5929056,0.314,0.3125,0.3045,0.291,0.275
"Wantagh, NY",40.6837121,-73.5101258,0.2395,0.2385,0.232,0.222,0.2095
"West Hempstead, NY",40.7048242,-73.6501295,0.2395,0.238,0.232,0.2215,0.2095
"Woodmere, NY",40.6320482,-73.7126314,0.2175,0.216,0.2105,0.201,0.19
"Floral Park, NY",40.7237133,-73.7048532,0.2015,0.2005,0.195,0.1865,0.176
"Freeport, NY",40.6576022,-73.5831835,0.544,0.541,0.527,0.5035,0.476
"Garden City, NY",40.7267682,-73.6342955,0.284,0.2825,0.275,0.263,0.2485
"Hempstead, NY",40.7062128,-73.6187397,0.684,0.6805,0.6625,0.6335,0.5985
"Lynbrook, NY",40.6548253,-73.6717969,0.2465,0.2455,0.239,0.2285,0.2155
"Massapequa Park, NY",40.6803785,-73.4551241,0.216,0.215,0.209,0.2,0.189
"Mineola, NY",40.7492678,-73.6406845,0.2385,0.2375,0.231,0.221,0.2085
"Rockville Centre, NY",40.6587138,-73.6412406,0.305,0.3035,0.2955,0.2825,0.2665
"Valley Stream, NY",40.6642699,-73.7084645,0.476,0.4735,0.461,0.441,0.4165
"Westbury, NY",40.7556561,-73.5876273,0.192,0.191,0.186,0.178,0.168
"Somerset, NJ",40.4976041,-74.4884868,0.8875,0.883,0.86,0.822,0.7765
"Carnot-Moon, PA",40.5187134,-80.2177437,0.3695,0.3675,0.358,0.342,0.3235
"South Park, PA",40.2989466,-79.9943858,0.436,0.4335,0.4225,0.4035,0.3815
"Upper Saint Clair, PA",40.3359029,-80.083388,0.625,0.6215,0.6055,0.5785,0.5465
"Colonial Park, PA",40.3006446,-76.8096938,0.43,0.4275,0.4165,0.398,0.376
"Hershey, PA",40.2859239,-76.6502468,0.463,0.461,0.449,0.429,0.4055
"Weirton, WV",40.4189566,-80.5895167,0.326,0.324,0.3155,0.302,0.285
"Levittown, PA",40.1551097,-74.8287747,1.7215,1.713,1.668,1.5945,1.5065
"Fords, NJ",40.5292715,-74.3159809,0.6105,0.6075,0.5915,0.5655,0.534
"Avenel, NJ",40.5803818,-74.2851469,0.6835,0.6805,0.6625,0.633,0.5985
"Colonia, NJ",40.5745485,-74.3020918,0.715,0.7115,0.693,0.6625,0.626
"Old Bridge, NJ",40.4148291,-74.3654267,0.9545,0.95,0.925,0.884,0.8355
"Iselin, NJ",40.5753817,-74.3223703,0.7515,0.7475,0.728,0.696,0.6575
"Woodbridge, NJ",40.5576045,-74.2845911,0.7745,0.7705,0.75,0.717,0.6775
"West Freehold, NJ",40.2420556,-74.301258,0.547,0.5445,0.53,0.507,0.479
"Ardmore, PA",40.0067786,-75.2854622,0.4045,0.4025,0.392,0.375,0.354
"Montgomeryville, PA",40.2473291,-75.2437854,0.41,0.408,0.3975,0.38,0.359
"King of Prussia, PA",40.0892746,-75.3960211,0.648,0.6445,0.6275,0.6,0.567
"Willow Grove, PA",40.1439985,-75.1157286,0.511,0.5085,0.495,0.473,0.447
"Weigelstown, PA",39.9837084,-76.8224701,0.4185,0.416,0.4055,0.3875,0.366
"Wheeling, WV",40.0639616,-80.7209149,0.47,0.4675,0.4555,0.4355,0.4115
"Browns Mills, NJ",39.9726147,-74.5829331,0.451,0.449,0.437,0.418,0.3945
"Marlton, NJ",39.8912248,-74.9218325,0.4075,0.405,0.3945,0.377,0.3565
"Lakewood, NJ",40.0978929,-74.2176435,2.1625,2.152,2.095,2.003,1.8925
"Toms River, NJ",39.9537291,-74.1979192,3.569,3.551,3.4575,3.3055,3.1225
"Broomall, PA",39.9815001,-75.3565797,0.3505,0.349,0.3395,0.3245,0.3065
"Drexel Hill, PA",39.9470567,-75.2921301,0.911,0.9065,0.8825,0.844,0.7975
"Williamstown, NJ",39.6862263,-74.995168,0.6255,0.6225,0.606,0.5795,0.5475
"Bear, DE",39.6292788,-75.6582628,1.077,1.0715,1.0435,0.9975,0.9425
"Brookside, DE",39.6670561,-75.7268779,0.798,0.794,0.773,0.739,0.698
"Glasgow, DE",39.6048338,-75.7452119,0.795,0.791,0.7705,0.7365,0.696
"Hockessin, DE",39.7876112,-75.6966001,0.752,0.7485,0.7285,0.6965,0.658
"Newark, DE",39.6837226,-75.7496572,1.7485,1.74,1.694,1.6195,1.53
"Wilmington, DE",39.7459467,-75.5465889,3.939,3.9195,3.816,3.648,3.4465
"Middletown, DE",39.449556,-75.7163207,1.049,1.044,1.0165,0.9715,0.918
"Pennsville, NJ",39.6534464,-75.5165881,0.478,0.4755,0.463,0.4425,0.418
"Halfway, MD",39.6206521,-77.7588828,0.3735,0.3715,0.3615,0.346,0.3265
"Hagerstown, MD",39.6417629,-77.7199932,1.384,1.377,1.3405,1.2815,1.211
"Cumberland, MD",39.6528654,-78.7625185,0.728,0.724,0.705,0.674,0.637
"Elkton, MD",39.6067789,-75.8332718,0.539,0.536,0.522,0.499,0.4715
"Morgantown, WV",39.629526,-79.9558968,0.4895,0.487,0.474,0.4535,0.428
"Edgewood, MD",39.4187194,-76.2944016,0.892,0.8875,0.864,0.826,0.7805
"Joppatowne, MD",39.4578856,-76.3552374,0.44,0.438,0.4265,0.4075,0.385
"Aberdeen, MD",39.5095556,-76.1641197,0.522,0.5195,0.5055,0.4835,0.4565
"Havre de Grace, MD",39.5492792,-76.091617,0.452,0.4495,0.438,0.4185,0.3955
"Bel Air, MD",39.5359406,-76.3482931,0.353,0.3515,0.342,0.327,0.309
"Essex, MD",39.3092743,-76.474962,1.37,1.363,1.327,1.269,1.1985
"Arbutus, MD",39.2545512,-76.6999702,0.7145,0.711,0.6925,0.662,0.6255
"Carney, MD",39.3942737,-76.523576,1.0445,1.0395,1.012,0.9675,0.914
"Catonsville, MD",39.2720509,-76.7319161,1.4505,1.443,1.405,1.343,1.269
"Cockeysville, MD",39.4812172,-76.6438598,0.725,0.7215,0.7025,0.6715,0.6345
"Dundalk, MD",39.2506633,-76.5205184,2.219,2.208,2.1495,2.055,1.9415
"Middle River, MD",39.3342744,-76.4394056,0.879,0.8745,0.8515,0.814,0.769
"Overlea, MD",39.3634405,-76.5205199,0.4285,0.426,0.415,0.3965,0.375
"Owings Mills, MD",39.4195499,-76.7802529,1.0685,1.063,1.035,0.9895,0.935
"Parkville, MD",39.3773292,-76.5396875,1.0725,1.067,1.039,0.993,0.9385
"Perry Hall, MD",39.4126073,-76.463574,0.9935,0.9885,0.9625,0.92,0.8695
"Pikesville, MD",39.3742729,-76.7224727,1.0735,1.068,1.04,0.994,0.939
"Randallstown, MD",39.3673278,-76.7952525,1.1315,1.126,1.096,1.048,0.99
"Reisterstown, MD",39.4695489,-76.8294213,0.906,0.9015,0.878,0.839,0.793
"Rosedale, MD",39.3201074,-76.5155191,0.672,0.6685,0.651,0.6225,0.588
"Lochearn, MD",39.3406619,-76.7221944,0.884,0.8795,0.8565,0.8185,0.7735
"Towson, MD",39.4014955,-76.6019125,1.926,1.9165,1.866,1.7835,1.685
"Woodlawn, MD",39.3228841,-76.7280277,1.3215,1.315,1.2805,1.224,1.1565
"Eldersburg, MD",39.4037147,-76.9502567,1.0655,1.06,1.032,0.9865,0.932
"Westminster, MD",39.5753791,-76.9958149,0.6485,0.6455,0.6285,0.6005,0.5675
"Frederick, MD",39.4142688,-77.4105409,2.2765,2.265,2.205,2.108,1.9915
"Fairmont, WV",39.4850848,-80.1425781,0.3085,0.307,0.299,0.286,0.27
"Martinsburg, WV",39.4562099,-77.9638869,0.2845,0.283,0.2755,0.2635,0.2485
"Clarksburg, WV",39.2806451,-80.3445341,0.2735,0.272,0.265,0.2535,0.2395
"Parkersburg, WV",39.2667418,-81.5615135,0.5195,0.517,0.5035,0.4815,0.4545
"Vienna, WV",39.3270191,-81.5484578,0.1775,0.1765,0.172,0.1645,0.155
"Elkridge, MD",39.2126073,-76.7135814,0.544,0.5415,0.527,0.504,0.476
"Ellicott City, MD",39.2673284,-76.7983067,2.297,2.2855,2.2255,2.1275,2.01
"Columbia, MD",39.2403841,-76.8394184,3.4755,3.4585,3.367,3.219,3.041
"Dover, DE",39.158168,-75.5243682,2.004,1.994,1.9415,1.856,1.7535
"Smyrna, DE",39.2998339,-75.6046494,0.557,0.5545,0.54,0.516,0.4875
"Aspen Hill, MD",39.0795529,-77.0730338,1.7015,1.693,1.648,1.5755,1.4885
"Bethesda, MD",38.9806658,-77.100256,2.1235,2.113,2.057,1.9665,1.858
"Calverton, MD",39.0578267,-76.9487956,0.6185,0.6155,0.599,0.573,0.541
"Clarksburg, MD",39.2387164,-77.2794288,0.4805,0.478,0.4655,0.445,0.4205
"Colesville, MD",39.0756643,-77.0019212,0.511,0.5085,0.495,0.4735,0.447
"Damascus, MD",39.2884381,-77.2038717,0.5325,0.5295,0.5155,0.493,0.466
"Montgomery Village, MD",39.1767734,-77.1952597,1.1175,1.112,1.0825,1.035,0.978
"North Potomac, MD",39.082886,-77.2649824,0.8515,0.8475,0.825,0.789,0.745
"Olney, MD",39.1531628,-77.066923,1.181,1.175,1.144,1.0935,1.0335
"Potomac, MD",39.0181651,-77.2085914,1.569,1.561,1.52,1.453,1.373
"Redland, MD",39.1453851,-77.144147,0.6015,0.5985,0.583,0.557,0.5265
"Germantown, MD",39.1731621,-77.2716502,3.0145,2.9995,2.9205,2.792,2.6375
"Kemp Mill, MD",39.0389982,-77.0191436,0.4385,0.436,0.4245,0.406,0.3835
"Silver Spring, MD",38.9906657,-77.026088,2.493,2.4805,2.415,2.309,2.1815
"Travilah, MD",39.0689974,-77.2630377,0.424,0.422,0.411,0.393,0.371
"White Oak, MD",39.0398315,-76.9930319,0.607,0.604,0.5885,0.5625,0.5315
"Gaithersburg, MD",39.1434406,-77.2013705,2.091,2.0805,2.026,1.9365,1.83
"Rockville, MD",39.0839973,-77.1527578,2.1355,2.125,2.069,1.978,1.8685
"Takoma Park, MD",38.9778882,-77.0074765,0.583,0.5805,0.565,0.54,0.5105
"Leesburg, VA",39.1156615,-77.5636015,1.002,0.997,0.9705,0.928,0.8765
"Dent, OH",39.185891,-84.6513353,0.168,0.167,0.1625,0.1555,0.147
"Ferndale, MD",39.1831637,-76.640245,0.5845,0.5815,0.566,0.541,0.5115
"Arnold, MD",39.0320554,-76.5027395,0.806,0.802,0.781,0.7465,0.7055
"Crofton, MD",39.0017772,-76.6874671,0.954,0.9495,0.9245,0.884,0.835
"Odenton, MD",39.0839981,-76.7002462,1.2955,1.289,1.255,1.2,1.1335
"Parole, MD",38.9795562,-76.5305174,0.5555,0.553,0.538,0.5145,0.486
"Pasadena, MD",39.1073317,-76.5710753,0.8475,0.843,0.821,0.785,0.7415
"Riviera Beach, MD",39.1667757,-76.5080177,0.4425,0.44,0.4285,0.4095,0.387
"Glen Burnie, MD",39.1626084,-76.6246886,2.36,2.348,2.2865,2.186,2.065
"Lake Shore, MD",39.1070543,-76.4849613,0.6795,0.676,0.6585,0.6295,0.5945
"Linthicum, MD",39.2051077,-76.6527456,0.36,0.3585,0.349,0.3335,0.315
"Maryland City, MD",39.0920531,-76.8177498,0.5615,0.5585,0.544,0.52,0.4915
"Severn, MD",39.1370528,-76.6983022,1.5435,1.5355,1.495,1.4295,1.3505
"Severna Park, MD",39.070388,-76.5452409,1.313,1.3065,1.272,1.216,1.149
"Annapolis, MD",38.9784453,-76.4921829,1.3395,1.333,1.298,1.2405,1.172
"Forestville, MD",38.8451131,-76.8749722,0.431,0.429,0.4175,0.399,0.377
"Accokeek, MD",38.6676168,-77.0283092,0.369,0.367,0.3575,0.3415,0.323
"Adelphi, MD",39.0031656,-76.97192,0.5265,0.5235,0.51,0.4875,0.4605
"Beltsville, MD",39.0348317,-76.9074739,0.585,0.5825,0.567,0.542,0.512
"Camp Springs, MD",38.8040027,-76.9066396,0.6665,0.663,0.6455,0.617,0.583
"Chillum, MD",38.9637218,-76.9908093,1.1695,1.1635,1.133,1.083,1.023
"Clinton, MD",38.7651145,-76.8983059,1.255,1.249,1.216,1.1625,1.098
"Mitchellville, MD",38.9251118,-76.7427464,0.3825,0.3805,0.3705,0.3545,0.335
"Rosaryville, MD",38.7567817,-76.8096924,0.373,0.3715,0.3615,0.3455,0.3265
"Fort Washington, MD",38.7073379,-77.0230314,0.8275,0.8235,0.8015,0.7665,0.724
"Glenn Dale, MD",38.9876104,-76.8205265,0.47,0.4675,0.455,0.435,0.411
"Landover, MD",38.9340002,-76.8966397,0.805,0.801,0.78,0.746,0.7045
"Hillcrest Heights, MD",38.8328909,-76.9594189,0.5745,0.572,0.5565,0.532,0.503
"Kettering, MD",38.8845568,-76.8146928,0.4465,0.444,0.4325,0.4135,0.3905
"Langley Park, MD",38.9887213,-76.9813647,0.6545,0.651,0.634,0.606,0.5725
"Largo, MD",38.8976121,-76.8302489,0.3735,0.372,0.362,0.346,0.327
"Bowie, MD",38.97171205,-76.74855206,1.9095,1.9,1.85,1.7685,1.671
"College Park, MD",38.980666,-76.9369189,1.061,1.056,1.028,0.983,0.9285
"Greenbelt, MD",39.0045544,-76.8755282,0.805,0.801,0.7795,0.7455,0.7045
"Hyattsville, MD",38.9559442,-76.9455301,0.6125,0.6095,0.5935,0.5675,0.536
"Laurel, MD",39.0992752,-76.8483061,0.8765,0.872,0.849,0.8115,0.767
"New Carrollton, MD",38.9698329,-76.8799727,0.4235,0.4215,0.41,0.392,0.3705
"Fort Hunt, VA",38.7328926,-77.0580327,0.377,0.3755,0.3655,0.3495,0.33
"Annandale, VA",38.8303905,-77.1963703,0.964,0.9595,0.934,0.893,0.8435
"Bailey's Crossroads, VA",38.8503902,-77.1297016,0.556,0.553,0.5385,0.515,0.4865
"Burke, VA",38.7934466,-77.2716505,0.9655,0.9605,0.935,0.894,0.8445
"Centreville, VA",38.8403909,-77.4288769,1.6725,1.664,1.6205,1.549,1.4635
"Chantilly, VA",38.8942786,-77.4310992,0.5415,0.539,0.525,0.5015,0.474
"McLean, VA",38.9342776,-77.1774801,1.1315,1.1255,1.096,1.0475,0.99
"Merrifield, VA",38.8742786,-77.2269262,0.3575,0.356,0.3465,0.331,0.313
"Mount Vernon, VA",38.735159,-77.095367,0.292,0.2905,0.283,0.2705,0.2555
"Newington, VA",38.7384477,-77.1849816,0.3045,0.303,0.295,0.282,0.2665
"Oakton, VA",38.8809451,-77.3008172,0.8035,0.7995,0.778,0.744,0.703
"Reston, VA",38.9687213,-77.3410958,1.373,1.3665,1.3305,1.272,1.2015
"Rose Hill, VA",38.7887246,-77.1127569,0.4755,0.473,0.4605,0.4405,0.416
"Franconia, VA",38.782058,-77.1463691,0.429,0.427,0.4155,0.3975,0.3755
"Great Falls, VA",38.9981653,-77.2883157,0.3625,0.361,0.3515,0.336,0.3175
"Groveton, VA",38.7673362,-77.0847004,0.343,0.3415,0.3325,0.318,0.3005
"Huntington, VA",38.7923357,-77.070811,0.265,0.2635,0.2565,0.2455,0.232
"Hybla Valley, VA",38.7476143,-77.0830337,0.3715,0.3695,0.36,0.344,0.325
"Idylwood, VA",38.8951115,-77.2116478,0.4065,0.4045,0.394,0.3765,0.3555
"Lincolnia, VA",38.8184463,-77.1433132,0.5375,0.5345,0.5205,0.4975,0.47
"Lorton, VA",38.704282,-77.2277604,0.4375,0.4355,0.424,0.405,0.383
"Herndon, VA",38.9695545,-77.3860976,0.5475,0.545,0.5305,0.507,0.479
"Springfield, VA",38.7892801,-77.1872036,0.7165,0.713,0.6945,0.664,0.627
"Tysons Corner, VA",38.9187222,-77.2310925,0.4615,0.459,0.447,0.4275,0.404
"West Springfield, VA",38.7726136,-77.2210938,0.528,0.5255,0.5115,0.489,0.462
"Wolf Trap, VA",38.9398329,-77.286094,0.3795,0.3775,0.3675,0.3515,0.332
"Front Royal, VA",38.9181671,-78.1944446,0.3395,0.338,0.329,0.3145,0.297
"Washington, DC",38.8951118,-77.0363658,13.6845,13.6165,13.2575,12.6745,11.974
"Easton, MD",38.7742826,-76.0763305,0.5565,0.5535,0.539,0.5155,0.487
"Bull Run, VA",38.783726,-77.5205454,0.3525,0.3505,0.3415,0.3265,0.308
"Dale City, VA",38.6370622,-77.3110946,1.551,1.5435,1.5025,1.4365,1.357
"Montclair, VA",38.6109522,-77.3397058,0.46,0.458,0.446,0.426,0.4025
"Gainesville, VA",38.7956706,-77.6138802,0.27,0.2685,0.2615,0.25,0.236
"Lake Ridge, VA",38.687894,-77.2977618,0.9655,0.9605,0.935,0.894,0.8445
"Linton Hall, VA",38.7598381,-77.5749905,0.84,0.836,0.8135,0.778,0.735
"Sudley, VA",38.7928924,-77.4974897,0.381,0.379,0.369,0.353,0.3335
"Arlington, VA",38.8903896,-77.0841446,4.8815,4.857,4.729,4.521,4.2715
"West Falls Church, VA",38.8909449,-77.184425,0.6865,0.6835,0.6655,0.636,0.601
"Lemay, MO",38.533386,-90.2792814,0.2715,0.27,0.263,0.2515,0.2375
"Mehlville, MO",38.5083865,-90.3228941,0.463,0.4605,0.4485,0.4285,0.405
"Oakville, MO",38.4700533,-90.3045605,0.5895,0.5865,0.571,0.546,0.5155
"Spanish Lake, MO",38.7878275,-90.2159441,0.3205,0.319,0.3105,0.297,0.2805
"Affton, MO",38.5506084,-90.3331719,0.331,0.3295,0.321,0.3065,0.29
"Concord, MO",38.5244976,-90.3573395,0.268,0.2665,0.2595,0.248,0.2345
"Bridgeton, MO",38.7669954,-90.4115057,0.1885,0.1875,0.1825,0.1745,0.165
"Cambridge, MD",38.5631744,-76.0788292,0.43,0.428,0.4165,0.3985,0.3765
"Culpeper, VA",38.4731815,-77.9966639,0.385,0.383,0.373,0.3565,0.337
"Bensville, MD",38.6176476,-77.007687,0.416,0.414,0.403,0.3855,0.364
"Waldorf, MD",38.62409836,-76.90395823,2.364,2.352,2.29,2.1895,2.0685
"Charleston, WV",38.3498195,-81.6326235,0.848,0.844,0.8215,0.7855,0.742
"South Charleston, WV",38.368429,-81.69957,0.222,0.221,0.215,0.2055,0.194
"Saint Albans, WV",38.3856488,-81.836241,0.182,0.1815,0.1765,0.169,0.1595
"Huntington, WV",38.4192496,-82.445154,0.811,0.807,0.7855,0.751,0.7095
"Salisbury, MD",38.3606736,-75.5993692,1.0585,1.0535,1.0255,0.9805,0.9265
"California, MD",38.3004029,-76.5074542,0.4135,0.4115,0.401,0.383,0.362
"Lexington Park, MD",38.2667917,-76.4538411,0.4055,0.4035,0.393,0.3755,0.355
"Ocean Pines, MD",38.395392,-75.1557415,0.4085,0.4065,0.396,0.3785,0.3575
"Fort Leonard Wood, MO",37.7057537,-92.157212,0.2455,0.2445,0.238,0.2275,0.215
"Mechanicsville, VA",37.6087561,-77.373314,0.8545,0.8505,0.828,0.7915,0.748
"Beckley, WV",37.7781702,-81.1881557,0.2905,0.289,0.2815,0.269,0.2545
"Madison Heights, VA",37.4309757,-79.1230795,0.2655,0.264,0.257,0.2455,0.232
"East Highland Park, VA",37.5809789,-77.4069263,0.348,0.346,0.337,0.322,0.3045
"Glen Allen, VA",37.665978,-77.5063739,0.3475,0.3455,0.3365,0.3215,0.304
"Highland Springs, VA",37.5459791,-77.3277568,0.3695,0.3675,0.358,0.342,0.323
"Lakeside, VA",37.6076456,-77.4769286,0.2785,0.277,0.27,0.258,0.244
"Laurel, VA",37.6429229,-77.5088741,0.393,0.391,0.3805,0.364,0.344
"Short Pump, VA",37.6504234,-77.6124888,0.5815,0.5785,0.5635,0.5385,0.5085
"Tuckahoe, VA",37.5901463,-77.5563761,1.058,1.0525,1.025,0.9795,0.9255
"Bluefield, WV",37.2698395,-81.2223195,0.1725,0.1715,0.167,0.1595,0.151
"Bon Air, VA",37.5248695,-77.5577654,0.385,0.383,0.373,0.3565,0.3365
"Chester, VA",37.3568157,-77.4416505,0.4935,0.491,0.478,0.457,0.432
"Timberlake, VA",37.3206989,-79.2575251,0.2865,0.285,0.2775,0.2655,0.2505
"Cave Spring, VA",37.2276369,-80.0128158,0.586,0.583,0.5675,0.5425,0.5125
"Hollins, VA",37.3412463,-79.9430952,0.345,0.3435,0.334,0.3195,0.302
"Blacksburg, VA",37.2295733,-80.4139393,1.002,0.997,0.971,0.928,0.877
"Christiansburg, VA",37.1298517,-80.4089389,0.4945,0.492,0.4795,0.458,0.433
"Hibbing, MN",47.4271546,-92.9376887,0.304,0.3025,0.2945,0.2815,0.266
"Bemidji, MN",47.4735633,-94.8802767,0.2495,0.248,0.2415,0.231,0.2185
"Brainerd, MN",46.3580221,-94.2008288,0.2525,0.251,0.2445,0.2335,0.221
"Cloquet, MN",46.7216102,-92.4593566,0.225,0.224,0.218,0.2085,0.197
"Alexandria, MN",45.8852397,-95.3775379,0.2055,0.2045,0.199,0.1905,0.18
"Big Lake, MN",45.3324647,-93.7460804,0.187,0.186,0.181,0.173,0.1635
"Buffalo, MN",45.1719084,-93.8746941,0.287,0.2855,0.278,0.266,0.251
"Columbia Heights, MN",45.0407987,-93.2630037,0.362,0.3605,0.351,0.3355,0.317
"Coon Rapids, MN",45.14554916,-93.30440296,1.1415,1.136,1.106,1.0575,0.999
"Andover, MN",45.2332985,-93.2913405,0.568,0.5655,0.5505,0.5265,0.497
"Anoka, MN",45.1977428,-93.3871758,0.3185,0.317,0.3085,0.295,0.2785
"Blaine, MN",45.1607987,-93.2349489,1.062,1.0565,1.029,0.9835,0.9295
"Ham Lake, MN",45.2502429,-93.2499508,0.284,0.2825,0.275,0.263,0.2485
"Cottage Grove, MN",44.8277446,-92.9438218,0.6425,0.639,0.6225,0.595,0.562
"Hugo, MN",45.159967,-92.9932734,0.2475,0.2465,0.24,0.2295,0.2165
"Crystal, MN",45.0327425,-93.3602287,0.4115,0.4095,0.3985,0.381,0.36
"Champlin, MN",45.1888539,-93.3974538,0.429,0.4265,0.4155,0.397,0.375
"Bloomington, MN",44.840798,-93.2982799,1.5395,1.5315,1.4915,1.426,1.347
"Hopkins, MN",44.92770474,-93.42195646,0.3265,0.325,0.3165,0.3025,0.286
"Hutchinson, MN",44.8877401,-94.3697057,0.2635,0.262,0.255,0.244,0.2305
"Chanhassen, MN",44.8621853,-93.5307883,0.426,0.424,0.413,0.395,0.373
"Chaska, MN",44.7894072,-93.6021791,0.4415,0.439,0.4275,0.409,0.3865
"Burnsville, MN",44.7677424,-93.2777226,1.12,1.1145,1.085,1.0375,0.98
"Apple Valley, MN",44.7319094,-93.21772,0.9115,0.907,0.883,0.844,0.7975
"Hastings, MN",44.7433008,-92.8524273,0.412,0.4095,0.399,0.3815,0.3605
"Albert Lea, MN",43.6480127,-93.3682656,0.3345,0.333,0.324,0.31,0.293
"Austin, MN",43.6666296,-92.9746367,0.459,0.457,0.4445,0.425,0.4015
"Waverly, MI",42.7392018,-84.620815,0.827,0.823,0.8015,0.766,0.724
"Cedar Falls, IA",42.5277622,-92.4454654,0.5615,0.559,0.544,0.52,0.4915
"Crystal Lake, IL",42.2411344,-88.3161965,0.685,0.6815,0.6635,0.6345,0.5995
"Belvidere, IL",42.2639098,-88.8442674,0.43,0.428,0.4165,0.3985,0.3765
"Highland Park, IL",42.1816919,-87.8003438,0.5005,0.498,0.4845,0.4635,0.438
"Boone, IA",42.0597047,-93.8802273,0.181,0.18,0.1755,0.1675,0.1585
"Ames, IA",42.0347081,-93.6199402,0.8435,0.8395,0.817,0.781,0.738
"Burbank, IL",41.7339215,-87.7794981,0.486,0.484,0.471,0.4505,0.4255
"Calumet City, IL",41.6155909,-87.5294871,0.6225,0.6195,0.603,0.5765,0.545
"Chicago Heights, IL",41.506146,-87.6355995,0.509,0.5065,0.493,0.4715,0.4455
"Country Club Hills, IL",41.5680898,-87.7203257,0.278,0.2765,0.2695,0.2575,0.2435
"Berwyn, IL",41.8505874,-87.7936685,0.9525,0.9475,0.9225,0.882,0.8335
"Blue Island, IL",41.6572562,-87.6800486,0.3985,0.3965,0.386,0.369,0.3485
"Harvey, IL",41.6100344,-87.6467132,0.425,0.423,0.4115,0.3935,0.372
"Hickory Hills, IL",41.7255879,-87.825055,0.236,0.235,0.229,0.2185,0.2065
"Des Plaines, IL",42.0333623,-87.8833991,0.981,0.976,0.9505,0.9085,0.8585
"DeKalb, IL",41.9294736,-88.7503647,0.7375,0.7335,0.7145,0.683,0.645
"Aurora, IL",41.7605849,-88.3200715,3.3265,3.31,3.2225,3.081,2.9105
